image_shg_2023,logo,,320,80
Mariana Spivak,string,,,
Marina Ryzhkova,string,,,
Mark Popov,string,,,
Michał Cegiełka,string,,,
Mikhail Danilyuk,string,,,
Mikhail Volkov,string,,,
Natalia Kolodiazhnaya,string,,,
Nikita Moiseev,string,,,
Nikita Prozorovsky,string,,,
Nikolay Bystrov,string,,,
Nona Troyanovskaya,string,,,
Oleg Eremchuk,string,,,
Oleg Smagin,string,,,
Olga Degtyareva,string,,,
Olga Gerasimova,string,,,
Olga Zubkova,string,,,
Pavel Dorofeev,string,,,
Pavel Savinov,string,,,
Pavel Udin,string,,,
Phillip Lebedev,string,,,
Polina Zam,string,,,
Radik Mukhamedzianov,string,,,
Roman Nefyodov,string,,,
Sergey Chikhachev,string,,,
Sergey Chudakov,string,,,
Sergey Ponomarev,string,,,
Sergey Rudakov,string,,,
Stanislav Tikunov,string,,,
Tatiana Abramova,string,,,
Vasily Firsov,string,,,
Vataly Timashkov,string,,,
Vladimir Golitsyn,string,,,
Yulia Lobanova,string,,,
Roboto Global,dept,,,
Adam Rosa,string,,,
Adam Żejmo,string,,,
Adrianna Gruszka,string,,,
Agata Grzymała,string,,,
Agnieszka Matysiak,string,,,
Albert Osik,string,,,
Aleksandar Milićević,string,,,
Aleksandra Maciaszczyk,string,,,
Aleksandra Nowicka,string,,,
Anna Sztejner,string,,,
Artur Stodolny,string,,,
Bartosz Lewandowski,string,,,
Bartosz Martyna,string,,,
Bartosz Wesołowski,string,,,
Bodek Pezda,string,,,
Błażej Jóźwik,string,,,
Cyryl Jegliński,string,,,
Damian Zubczyński,string,,,
Daniel Santorowski,string,,,
Dominik Jóźwik,string,,,
Dominika Szulc-Lewandowska,string,,,
Elżbieta Letkiewicz,string,,,
Filip Lipiecki,string,,,
Grzegorz Daukszewicz,string,,,
Grzegorz Kwiecień,string,,,
Izabela Jewuła (Stupa-Chybowska),string,,,
Jakub Oleksów,string,,,
Jakub Sikora,string,,,
Jan Staszczyk,string,,,
Jerzy Pieniążek,string,,,
Joanna Derengowska,string,,,
Julia Chatys,string,,,
Justyna Al Hammuri,string,,,
Kamil Pruban,string,,,
Kamil Siegmund,string,,,
Karina Klimaszewska,string,,,
Katarzyna Kanabus,string,,,
Katarzyna Kropidłowska,string,,,
Kinga Suchan,string,,,
Krzysztof Karabin,string,,,
Krzysztof Wach,string,,,
Leszek Zduń,string,,,
Maciej Czarnecki,string,,,
Maciej Kowalik,string,,,
Maciej Kowalski,string,,,
Maciej Wyczański,string,,,
Magdalena Kaczmarek,string,,,
Maksymilian Bogumił,string,,,
Maksymilian Michasiów,string,,,
Maria Czub,string,,,
Maria Juźwin,string,,,
Marta Markowicz-Dziarkowska,string,,,
Marta Muszel,string,,,
Martin Fitch,string,,,
Martyna Laska,string,,,
Mateusz Kwiecień,string,,,
Michał Dominkowski,string,,,
Michał Konarski,string,,,
Michał Szymankiewicz,string,,,
Miku Łapacz,string,,,
Mirosław Guzowski,string,,,
Modest Ruciński,string,,,
Paulina Holtz,string,,,
Paweł Ferens,string,,,
Paweł Rojewski,string,,,
Piotr Urbański,string,,,
Piotr Warszawski,string,,,
Przybylski Marcin,string,,,
Rafał Paśniewski,string,,,
Saniwoj Król,string,,,
Tomasz Olejnik,string,,,
Tomasz Traczyński,string,,,
Weronika Niedbała,string,,,
Weronika Łukaszewska,string,,,
Wojan Trocki,string,,,
Wojciech Chorąży,string,,,
Wojciech Sławacki,string,,,
Łukasz Borkowski,string,,,
BLANK,blank,,,
ACTIVISION PUBLISHING,logotext,,,
APAC Region,dept,,,
Aaron Beasley,string,,,
Alexander Di Giorgio,string,,,
Alexis Boulton,string,,,
Alysha Mah,string,,,
Amanda Seah,string,,,
Andy Tuck,string,,,
Ash Ju,string,,,
Azatue Zakarian,string,,,
Benjamin Lee,string,,,
Beta Yen,string,,,
Bill Vaughan,string,,,
Cameron Dow,string,,,
Chantal Kim,string,,,
Charlie Bou-Melhelm,string,,,
Chloe Chang,string,,,
Daekeun Youn,string,,,
Faith Lim,string,,,
Huw Robinson,string,,,
James Ding,string,,,
Jasmine Loh,string,,,
Jon Tae,string,,,
Joshua Graffeo,string,,,
Justin Garea,string,,,
Keith Tan,string,,,
Kenny Park,string,,,
Kripa Shivamurthy,string,,,
Kyle Stefanovic,string,,,
Kyounghwa Park,string,,,
Mark Cole,string,,,
May Yan Lee,string,,,
Nathan Yik,string,,,
Nicholas Wong,string,,,
Owen Hughes,string,,,
Paul Butcher,string,,,
Paul Chen,string,,,
Paul Huang,string,,,
Robert Lee,string,,,
Sayuri Koga,string,,,
Shawn Sabeti,string,,,
Sonny Wicaksono,string,,,
Takeru Uemori,string,,,
Takumi Shimazu,string,,,
Tanvi Shikha,string,,,
Wataru Ninomiya,string,,,
Yoko Sawai,string,,,
Yunbok Lee,string,,,
Accounting,dept,,,
Alejandro Pardo,string,,,
Alex Smoley,string,,,
Andy Chow,string,,,
Anna Jukl,string,,,
Antonio Mixquitl,string,,,
Blake Verdi,string,,,
Bryan Clark,string,,,
Ellen Helbig,string,,,
Emily Bone,string,,,
Erika Gleim,string,,,
Ethan Malofsky,string,,,
Evelyn Hsu,string,,,
Gino Manderino,string,,,
Grace Segui,string,,,
Hyejin Park,string,,,
James Rock,string,,,
Jason Yang,string,,,
Jeffrey Gil,string,,,
Jonathan Alcantara,string,,,
Julia Dinh,string,,,
Julia Yang,string,,,
KEYSHA MOOLENAAR,string,,,
Kristine So,string,,,
Kurt Diwa,string,,,
Leigh Maetzig,string,,,
Lena Shin,string,,,
Li Xu,string,,,
Matt Carr,string,,,
Mike Lai,string,,,
Mike Miyamoto,string,,,
Mitchell Santos,string,,,
My Tran,string,,,
Pamela Lee,string,,,
Paul Mikschl,string,,,
Rajneesh Sain,string,,,
Sara Beitler,string,,,
Seth Beauchamp,string,,,
TJ Jantanangkool,string,,,
Tynesha Dorsey,string,,,
Valentina Nlemadim,string,,,
Victoria Hernandez,string,,,
Wen Ang,string,,,
Activision Platform Infrastructure (IT),dept,,,
Anthony O'Donnell,string,,,
James Hennessey,string,,,
Janella Pangan,string,,,
Liz Folse,string,,,
Mikael Buencamino,string,,,
Victor Guerrero,string,,,
Activision User Research,dept,,,
Adams Greenwood-Ericksen,string,,,
Ahmad Azadvar,string,,,
Brent Lebow,string,,,
Brice Arnold,string,,,
Carlo Escobar,string,,,
Christian Soza,string,,,
Christine Tomlinson,string,,,
Cianna Robinson,string,,,
Daniel Aparicio,string,,,
Daniel Massey,string,,,
Daniel Nunes,string,,,
Evan Waltmire,string,,,
Hannah Murphy,string,,,
Ian Wright,string,,,
Jennifer Lee,string,,,
John G. Cross,string,,,
Lauren Emmet,string,,,
Luka Čiklovan,string,,,
Marit Wangstad,string,,,
Maximiliano Fulgueira,string,,,
Michelle Pei,string,,,
Michie Lecesse,string,,,
Naomi Ceniceros,string,,,
Nicolaas VanMeerten,string,,,
Pat Dimaandal,string,,,
Qianhui Ni,string,,,
Santino Garcia,string,,,
Shiba Bechara,string,,,
Shing-Hoi Lau,string,,,
Trenton Eiberg,string,,,
Tyler Hoisington,string,,,
Administration,dept,,,
Jen Codrington,string,,,
Sophie Janik,string,,,
Advanced Analytics and Machine Learning,dept,,,
Chrisopher Willis,string,,,
Dallam Masterson,string,,,
Feri Soltani,string,,,
Fiona Fan,string,,,
Geri Rista,string,,,
Jack Kelleher,string,,,
Jonathan Lane,string,,,
Kevin De Angeli,string,,,
Kyle Boerstler,string,,,
MJ Kim,string,,,
Nic Mon,string,,,
Steven Boada,string,,,
Zayda Rocha,string,,,
Business Analytics & Planning,dept,,,
Adinarayana Murthy Nalla,string,,,
Brendan Hood,string,,,
Brian Shaver,string,,,
Chandrakiran Laxman Rajnalwar,string,,,
Damien Reeb,string,,,
Eric Yoo,string,,,
Fabiola Garcia,string,,,
Fernanda Mariscal,string,,,
Hemanth Chellam,string,,,
Jakousi Urbina,string,,,
Josue Garcia,string,,,
Komal Tejwani,string,,,
Victoria Ryzhova,string,,,
Vladimir Sytchev,string,,,
Business Development,dept,,,
Bob Loya,string,,,
Christopher Baggio,string,,,
Justin Park,string,,,
Sophie Ling,string,,,
Steven Price,string,,,
Business Intelligence,dept,,,
Ben Tilston,string,,,
Chris Mallet,string,,,
Felix Kauschmann,string,,,
Max Métral,string,,,
Niklas Kaemmerer,string,,,
Call of Duty Consumer Marketing,dept,,,
Adrian Cheung,string,,,
Alex Phillips,string,,,
Arjun Chudasama,string,,,
Audrey Cheah,string,,,
Benjamin Ortega,string,,,
Hannah Diehl,string,,,
Jene Crandall,string,,,
Joyce Lo,string,,,
Karen Starr,string,,,
Kellen Laker,string,,,
Kelly Patt,string,,,
Laura Mesones,string,,,
Logan Leavitt,string,,,
Lynn Ballew,string,,,
Matt Gilhooley,string,,,
Matthew Webster,string,,,
Michael Tran,string,,,
Shane Needham,string,,,
Call of Duty Product Management,dept,,,
Alice Sun,string,,,
Chong Kim,string,,,
David Alcaide,string,,,
Diego Diaz,string,,,
Emily Zhukovsky,string,,,
Erica Xerri,string,,,
Jason Thomas,string,,,
Jason Zhang,string,,,
Jonathan Gomez,string,,,
Kelsey Wheeler,string,,,
Kinjal Dave,string,,,
Marisa Thias,string,,,
Matthew Cox,string,,,
Michelle Bresaw,string,,,
Mitch Sitzer,string,,,
Natasha Daspin,string,,,
Nick Pournaras,string,,,
Olivia Reyes,string,,,
Sathvik Sudireddy,string,,,
Scot McCarron,string,,,
Sohaib Imtiaz,string,,,
Stephanie Zou,string,,,
Zach Schlesinger,string,,,
Central Studios,dept,,,
Andre Lopez,string,,,
David Lara,string,,,
Erik Link,string,,,
Euri Chu,string,,,
Evan Button,string,,,
Hasnain Vohra,string,,,
Jorge Mayo,string,,,
Kayla O'Neil,string,,,
Luchacha Angel Lam,string,,,
Ludovico Antonicelli,string,,,
Michael Jantz,string,,,
Mike Sanders,string,,,
Sana Hadavi,string,,,
Sanjit Patel,string,,,
Trevor Wolden,string,,,
Xian-Chun Wu,string,,,
Communications,dept,,,
Aaron Grant,string,,,
Alex Gilyadov,string,,,
Alexa Hamelin,string,,,
Amanda Kane,string,,,
Andrea Spaziani,string,,,
Andrew Nusca,string,,,
Ayano Osawa,string,,,
Bahareh Ramin,string,,,
Bethany Kemp,string,,,
Brad Crawford,string,,,
Caroline Hutcheson,string,,,
Chris Mancil,string,,,
Dan Peverett,string,,,
Delaney Simmons,string,,,
Dior Brown,string,,,
Dom Carey,string,,,
Dustin Blackwell,string,,,
Joe Libonati,string,,,
John Nomis,string,,,
Joseph Christinat,string,,,
Joyce Sheu,string,,,
Kaitlyn Xu,string,,,
Kelvin Liu,string,,,
Kyle Walker,string,,,
Laura Cabarcos Lorenzo,string,,,
Laura Lorenzo,string,,,
Lauren Hill,string,,,
Loic Olichon,string,,,
Lulu Meservey,string,,,
Léa Vellutini,string,,,
Marisa Benveniste,string,,,
Mark Pawluk,string,,,
Megan Golba,string,,,
Michael Mantarro,string,,,
Nicole Fodran,string,,,
Nora Bajes,string,,,
Oscar Salazar,string,,,
Robert Taylor,string,,,
Sam Harper,string,,,
Senwhaa Lim,string,,,
Shaniece Mason,string,,,
Sian Cargan,string,,,
Stephanie Poon,string,,,
Stephanie Snowden,string,,,
Stéphanie Yath,string,,,
Tiffany Steckler,string,,,
Tiffany Tai,string,,,
Tim Leong,string,,,
Tom Neal,string,,,
Toya Holness,string,,,
Vanessa Flores,string,,,
Xav de Matos,string,,,
Community,dept,,,
Shaun Akerman,string,,,
Community and PR - APAC,dept,,,
Bill Vaughn,string,,,
Charis Liew,string,,,
Dan Chiappini,string,,,
Debore Chang,string,,,
Ivy Yuan,string,,,
Joshua Grafeo,string,,,
Nicholas Ng,string,,,
Valerie Chia,string,,,
Consumer Products,dept,,,
Abigail Papuga,string,,,
Brooke Carpenter,string,,,
Chanee Goude,string,,,
Derek Romano,string,,,
Eva Perez,string,,,
Franca Bernatavicius,string,,,
Fung Thai,string,,,
Harry Walley,string,,,
Jen Mirabelli,string,,,
K.C Schmitt,string,,,
Marc Mejia,string,,,
Michelle Mejia,string,,,
Philippe Bost,string,,,
Ryan Wood,string,,,
Victoria Justice,string,,,
Corporate Strategy,dept,,,
Cody Innes,string,,,
Jarva Brown,string,,,
Jason Newsted,string,,,
Juan Lozano,string,,,
Ken Wee,string,,,
Tim Liu,string,,,
Vander Valente,string,,,
Creative Services,dept,,,
Chez Wallace,string,,,
Daniel Hawkins,string,,,
Elora Ainoa,string,,,
Jack Archer,string,,,
Kevin Jamieson,string,,,
Kirsten Franklin,string,,,
Lee Mellars,string,,,
Suzanne White,string,,,
Theo Waldron,string,,,
Development Operations,dept,,,
Mirela Cukovic Hanson,string,,,
Rosi Zagortcheva,string,,,
Digital Marketing,dept,,,
Dex Badgett, Jr,string,,,
Eva Wei,string,,,
Greg Wright,string,,,
Haris Bahtijaragic,string,,,
Jon Schmid,string,,,
Kent Ward,string,,,
Kristy Soto,string,,,
Oliver Cook,string,,,
Paarth Trivedi,string,,,
Shawn Barnett,string,,,
Victor Acosta,string,,,
Vishnu Pallabotula,string,,,
EMEA Analytics & Market Insights ,dept,,,
David Nedescu,string,,,
Max Metral,string,,,
Sofia Rosa,string,,,
EMEA Consumer Marketing,dept,,,
Finn McCabe,string,,,
James Houlton,string,,,
Joshua Kwei,string,,,
Karina Chakhoian,string,,,
Liam Emery,string,,,
Nikki Blandford,string,,,
Rea Bell,string,,,
Tom Read,string,,,
EMEA Franchise Team,dept,,,
Ali Mane,string,,,
Angela Dickson,string,,,
Daniel Green,string,,,
Hassan Bashir,string,,,
Jeremy Smith,string,,,
Jim McMullin,string,,,
Keith Cox,string,,,
Lee Godfrey,string,,,
Mark Fuller,string,,,
Queenie Chan,string,,,
Siri Jansson,string,,,
Stephie Dobe,string,,,
EMEA Legal,dept,,,
Aga Slobodzian,string,,,
Alicia Vaughan-Dick,string,,,
Amaya Sanchez,string,,,
Amy Cairns,string,,,
Anamta Rehman,string,,,
Becky Oliver,string,,,
Bryony Poynor,string,,,
Charlotte Kelly,string,,,
Chris Garratty,string,,,
Emanuele Fava,string,,,
Hammaad Ahmad,string,,,
Ian Mattingly,string,,,
Jola Hollett,string,,,
Julia Grantham,string,,,
Laura Horwich,string,,,
Matteo Cuccodrillo,string,,,
Nicola Cook,string,,,
Peter Le,string,,,
Ploy Wood,string,,,
Rebecca Chui,string,,,
Roisin Murphy,string,,,
Sophie Hallstrom,string,,,
Suzanna Temple-Morris,string,,,
Terrence Okorougo,string,,,
Tim Elgar,string,,,
Tracy Carpenter,string,,,
Victoria Bond,string,,,
Virginia Masso,string,,,
Willy Duhen,string,,,
Event Marketing,dept,,,
Bryan Reid,string,,,
Dani Lawrence,string,,,
Devin Segal,string,,,
Helen Harbour,string,,,
Kecia Christiansen,string,,,
Marc De Jesus,string,,,
Victor Lopez Castillo Jr.,string,,,
Executive Team,dept,,,
Alex Di Leonardo,string,,,
Chris Plummer,string,,,
David Stohl,string,,,
Johanna Faries,string,,,
Josh Taub,string,,,
Michael Vance,string,,,
Patrick Kelly,string,,,
Rob Schonfield,string,,,
Robert Kostich,string,,,
Suzie Carr,string,,,
Terri Durham,string,,,
Tyler Bahl,string,,,
Wade Brainerd,string,,,
Finance,dept,,,
Guillaume Maguin,string,,,
Matthew Evans,string,,,
Nashir Ahmed,string,,,
Finance & Strategy,dept,,,
Abel Teklemariam,string,,,
Alex Brown,string,,,
Alex Summers,string,,,
Bryce Veronda,string,,,
Carolyn Brown,string,,,
Chris Barnum,string,,,
Conner Stevens,string,,,
Deanna Nikoian,string,,,
Eddie Mansilla,string,,,
Eric Bloom,string,,,
Evan Wingren,string,,,
Felicia Chao,string,,,
Grace Te,string,,,
Katerina Fomicheva,string,,,
Katia Mahserejian,string,,,
Kevin Ruben,string,,,
Metin Benturk,string,,,
Michael Lee,string,,,
Phoebe Wang,string,,,
Rob Jones,string,,,
Syan Akhtar,string,,,
Vikas Kethineedi,string,,,
Vy Ly,string,,,
First Party Partnerships,dept,,,
Ben Payne,string,,,
Leeston Bryant,string,,,
Franchise Editorial,dept,,,
Carrie Andrews,string,,,
Dan Herrera,string,,,
Dan Noel,string,,,
David Hodgson,string,,,
Jordan Jackson,string,,,
Shawn Dwyer,string,,,
Global Analytics - Marketing Analytics & Audience Development,dept,,,
Aadil Maniar,string,,,
Bushra Syed,string,,,
Chetan Desai,string,,,
David Golshirazian,string,,,
Debbie Tan,string,,,
Filippo Talucci,string,,,
Gregory Hansen,string,,,
Ivan Tomic,string,,,
Jason Vu,string,,,
Karthik Prabhakaran,string,,,
Kieren Patel,string,,,
Kynan Barton,string,,,
Matt Seminara,string,,,
Mayuri Patel,string,,,
Olivia Borden,string,,,
Tracy Vallejo,string,,,
Tyler Phillippi,string,,,
Waleed Noury,string,,,
Global Commercial,dept,,,
Ali Esen,string,,,
Borhan Ahmadi,string,,,
Brant Pustay,string,,,
Cam Peterson,string,,,
Daniel Bonilla,string,,,
Danny Goldberg,string,,,
David Song,string,,,
Debbie Cunningham,string,,,
Dominic Lucia,string,,,
Felipe Magallon,string,,,
Garrett Brodie,string,,,
Heather Wise,string,,,
Jennifer Hur,string,,,
Joe Kam,string,,,
Jon Hayes,string,,,
Joseph Moses,string,,,
Kyle Owen,string,,,
Lindsay Pai,string,,,
Max Morais,string,,,
Mike Patterson,string,,,
Mike Rex,string,,,
Missy Hall,string,,,
Molly Dyer,string,,,
Molly Hinchey,string,,,
Owen Lancaster,string,,,
Paula O'Connor,string,,,
Raquel Hayner,string,,,
Rob Schonfeld,string,,,
Rory Huddleston,string,,,
Sean Dexheimer,string,,,
Sila Virdell,string,,,
Global Digital Supply Chain,dept,,,
Crecen Carr,string,,,
Dov Carson,string,,,
Dustin Carter,string,,,
Jake Ynzunza,string,,,
Kai Hsu,string,,,
Richard Tom,string,,,
Sian Clarke,string,,,
Surlah Ahn,string,,,
Global IT,dept,,,
Adit Kansara,string,,,
Ajith Kumar,string,,,
Akhil Gupta,string,,,
Alex Marquez,string,,,
Allen Mert,string,,,
Amit Pandit,string,,,
Andrei Chakhovskoi,string,,,
Andy Irvin,string,,,
Anil Kumar Reddy Surasani,string,,,
Antonia Slapac,string,,,
Baljinder Singh,string,,,
Baris Seker,string,,,
Bass Shibl,string,,,
Bethany Protzmann,string,,,
Brian Hicks,string,,,
Bryan Umana,string,,,
Butch Rionda,string,,,
Byron Black,string,,,
Cameron Johnstone,string,,,
Cameron Pettie,string,,,
Candace Saindon,string,,,
Changkoo Lee,string,,,
Chetan Varma,string,,,
Chewy Lazaro,string,,,
Chris Lampi,string,,,
Chris McCullough,string,,,
Chris Scoggins,string,,,
Chris Stocking,string,,,
Christian Philippart-Veasey,string,,,
Christopher Ouimet,string,,,
Claudia Naciff,string,,,
Colin Mortimer,string,,,
Danielle Madison,string,,,
David Bloodworth,string,,,
Dean Ding,string,,,
Deja Knight,string,,,
Desmond Zhang,string,,,
Dhinesh Natesan,string,,,
Eduardo Martin,string,,,
Emma Trujillo,string,,,
Eric Kou,string,,,
Eric Sumida,string,,,
Eugene GRAVEL,string,,,
Evelyn Flores,string,,,
Febi Omatsone,string,,,
Flordeliz Mary (LIZ) Folse,string,,,
Francis James Jimenez,string,,,
Francisco Pont Riera,string,,,
Garrett Williams,string,,,
George Fedoseyev,string,,,
George Kim,string,,,
Gopi Krishna Ponnam,string,,,
Gowthami Palle,string,,,
Griffin Warburton,string,,,
Hari Nambiar,string,,,
Harish Kumar Reddy Kommera,string,,,
Himabindu Penikalapati,string,,,
James Cargill,string,,,
Jamie Stone,string,,,
Jeff Ottaway,string,,,
Johnny Tran,string,,,
Jon Osorio,string,,,
Joseph Biner,string,,,
Josh Lark,string,,,
Jovan Zaric,string,,,
Kathy Jurgeto,string,,,
Kevin Lu,string,,,
Kevin Silva Mentado,string,,,
Khalid Khwaja,string,,,
Kristoffer Nocon,string,,,
Kumaravel Ponnusamy,string,,,
Kyle Mepham,string,,,
Leslie Kelly,string,,,
Logan Holliday,string,,,
Luke McClay-Lautoa,string,,,
Mahesh Tyagi,string,,,
Mahnaz Davarpanah,string,,,
Manjusha Tangirala,string,,,
Marcos Mercado Mendez,string,,,
Matt Lyon,string,,,
Megan Pierce,string,,,
Michael Hutchen,string,,,
Mike Constantas,string,,,
Mike Pearce,string,,,
Mike Troutman,string,,,
Mike Vasquez,string,,,
Moesha Clarke,string,,,
Morgan Gibbs,string,,,
Narendra Sabnis,string,,,
Naresh Vemula,string,,,
Nicholas Pacheco,string,,,
Nick Harland,string,,,
Nicolette Ciresi,string,,,
Nilesh Shah,string,,,
Niousha Senehi,string,,,
Prasanthi Polisetty,string,,,
Priti Agrawal,string,,,
Quang Tran,string,,,
Rahul Agarwal,string,,,
Rahul Prasad,string,,,
Ram Gilakattula,string,,,
Rama Rao Putigampu,string,,,
Ramakrishna Devineni,string,,,
Rambabu Dama,string,,,
Ramesh Bandari,string,,,
Randy De Rama,string,,,
Raymond Harvey,string,,,
Rick Kennedy,string,,,
Ronald Joshua Samuel,string,,,
Ronnie Lou,string,,,
Roshan Puthenpurayil,string,,,
Roxana Devore,string,,,
Sam Akiki,string,,,
Sam Winotai,string,,,
Sam Yun,string,,,
Sandeep Hegde,string,,,
Sandeepkumar Amrutia,string,,,
Sargon Isaac,string,,,
Shanzyan Faraizi,string,,,
Shayne Sterling,string,,,
Shrihari Gangula,string,,,
Shruti Parmar,string,,,
Soumen Sarkar,string,,,
Sowmya Katragadda,string,,,
Sri Reddi,string,,,
Srinivasa rao Ravilla,string,,,
Stephen Conner,string,,,
Steve Gonzalez,string,,,
Sungjin Kim,string,,,
Sunil Balusu,string,,,
Sunil Yadav,string,,,
Tabrez Ahmed Shaikh,string,,,
Thi K Nguyen,string,,,
Tyler Haberman,string,,,
Uma Maheswari Kola,string,,,
Venkata Satyanarayana Raju Mantena,string,,,
Vincent Chan,string,,,
Vinod Kakarlapudi,string,,,
Vishesh Gajjar,string,,,
Walter Ordonez,string,,,
Yarib Cabrera,string,,,
Global Information Security,dept,,,
Aiden Lim,string,,,
Albert Morris,string,,,
Alex Gumbs,string,,,
Alex Kim,string,,,
Alexandra Khammud,string,,,
Amber Schiraldi,string,,,
Ambrosia Iwugo,string,,,
Andrea Coll,string,,,
Angel Gallegos,string,,,
Arvin Aragon,string,,,
Ash Rhodes,string,,,
Austin Howard,string,,,
Austin Simison,string,,,
Bahar Mirzai,string,,,
Benjamin Kurtz,string,,,
Berni Headd,string,,,
Bill Preston,string,,,
Bill Weiss,string,,,
Blake Self,string,,,
Bradley Fong,string,,,
Brae Priesing,string,,,
Brandon Ashworth,string,,,
Brenda Burget,string,,,
Brent Gensemer,string,,,
Brent Robinson,string,,,
Brett Springe,string,,,
Brett Wahlin,string,,,
Carlos Ortigoza,string,,,
Chris Moore,string,,,
Chris Southerland,string,,,
Chris Sumner,string,,,
Chris Voss,string,,,
Christina Williams,string,,,
Courtney Bennett,string,,,
Craig Twellmann,string,,,
Crystal McClure,string,,,
César García,string,,,
Dave Weinstein,string,,,
David Carrasco,string,,,
David Cañizares,string,,,
Derek Stiles,string,,,
Diego Jurado,string,,,
Drew Maness,string,,,
Duncan McNab,string,,,
Emmi Cohen,string,,,
Ethan Lee,string,,,
Evan Childs,string,,,
Evan Nelson,string,,,
G Cole,string,,,
Gabriel Colbert,string,,,
Geoff Scott,string,,,
Geoffrey Dollin,string,,,
Gracie Chi,string,,,
Hannah Manning,string,,,
Hyunjung Hong,string,,,
Ian Trent,string,,,
Jackson Choy,string,,,
Jake Hisel,string,,,
James Nix,string,,,
Jamil Hassan,string,,,
Jason Collins,string,,,
Jeff Nation,string,,,
Jeff Petry,string,,,
Jeffrey Agnitsch,string,,,
Jeffrey Luer,string,,,
Jennie Steshenko,string,,,
Jennifer Farrar,string,,,
Jeremy Scarbro,string,,,
Jim Applegate,string,,,
Jim Somborovich,string,,,
Jochen Juncal,string,,,
John Glynn,string,,,
Jon Hawes,string,,,
Jorge Noyola,string,,,
Joshua Hillmann,string,,,
Juan Garcia,string,,,
Justin Brister,string,,,
Karl Fuhlbrugge,string,,,
Kendall Sliwa,string,,,
Kevin Kaminski,string,,,
Kevin Stallard,string,,,
Kevin Wells,string,,,
Kiki Butler,string,,,
Kristen Suk,string,,,
Lane Krejcik,string,,,
Laurent Nguyen,string,,,
Lennard Obeng,string,,,
Leo Ramirez,string,,,
Leslie Gutschow,string,,,
Mac McCauley,string,,,
Mak Ahmad,string,,,
Mar Garcia,string,,,
Marc Del,string,,,
Marcia Loughry,string,,,
Mark El,string,,,
Matt Batten,string,,,
Matt Clapham,string,,,
Melissa Bradford,string,,,
Melissa Roellich,string,,,
Melissa Shartle,string,,,
Michael Budd,string,,,
Michael Caron,string,,,
Michael LeComte,string,,,
Michael Maslanka,string,,,
Michael Pham,string,,,
Michael Sawyer,string,,,
Micheal Stephenson,string,,,
Michelle Li,string,,,
Mike Landeck,string,,,
Mike Sconzo,string,,,
Mike Trus,string,,,
Mustafa Avci,string,,,
Myles Sansone,string,,,
Nat Mokry,string,,,
Neus Boix,string,,,
Nicolas Calligaro,string,,,
Nupur Goel,string,,,
Pete Salama,string,,,
Piotr Musial,string,,,
Prashant Khadke,string,,,
Radu Chivu,string,,,
Rahul Pattnaik,string,,,
Rick Reischman,string,,,
Robert Cooper,string,,,
Rogelio Gomez,string,,,
Ryan Corcoran,string,,,
Sal Shaikh,string,,,
Samuel Nuñez,string,,,
Santiago Saenz,string,,,
Sarah Fongheiser,string,,,
Saurav Bhattacharyya,string,,,
Scott Miller,string,,,
Sean Heaton,string,,,
Shalom Abebefe,string,,,
Shawn Rabourn,string,,,
Shawn Routhier,string,,,
Sid Dutta,string,,,
Srikanth Eddla,string,,,
Stefan Stojanovski,string,,,
Stephanie Chavez,string,,,
Steve Biehl,string,,,
Steve Crist,string,,,
Steve Vives,string,,,
Sukanya Krishnamurthi,string,,,
Sundari Parekh,string,,,
TRACE LIGGETT,string,,,
Tamia Russell,string,,,
Tom Gadola,string,,,
Tom Weber,string,,,
Zana Jasarevic,string,,,
Zia Rehman,string,,,
Global Media,dept,,,
Alex Thompson,string,,,
Amanda Hillen,string,,,
Brendan McGinty,string,,,
Dana Galindo,string,,,
Daniel Lury,string,,,
Hosu Kim,string,,,
James Devlin,string,,,
Kieffer Bryant,string,,,
Kristyn Hinkle,string,,,
Matthew Hass,string,,,
Nick Morrissey,string,,,
Ojas Devanathan,string,,,
Owen Gray,string,,,
Patrick Tran,string,,,
Paul Bryant,string,,,
Philip Vanichviroon,string,,,
Rachael Caglia,string,,,
TJ Carroll,string,,,
Thomas Mercier,string,,,
Global Partnerships,dept,,,
Cody Neal,string,,,
Jack Harari,string,,,
Tyler Williamson,string,,,
William Gahagan,string,,,
Global Rewards,dept,,,
Aaron Greene,string,,,
Andaru Iman,string,,,
Annelise Ratulowski,string,,,
Aysha Wilson,string,,,
Brittney Lo,string,,,
Chris Rogers,string,,,
Heather Scott,string,,,
Holli Schmidt,string,,,
Jessica Lin,string,,,
Jill Miranda,string,,,
Joann Hovsepian,string,,,
Joseph Ocampo,string,,,
Josh Sklanka,string,,,
Justin Petrulak,string,,,
Kate Williams,string,,,
Ken Troy,string,,,
Ken Zhang,string,,,
Kyle Hodge,string,,,
Laura McMillan,string,,,
Marc Moratona Aparicio,string,,,
May Gu,string,,,
Milt Ezzard,string,,,
Nneka Johnson,string,,,
Paul Farrell,string,,,
Pauline Law,string,,,
Rachel Prince,string,,,
Shauren Kristian,string,,,
William Love,string,,,
Global Supply Chain,dept,,,
Atsuko Kobayashi,string,,,
Debbie Gleason,string,,,
Elisa Thygesen,string,,,
Julie Grovdahl,string,,,
Kevin D'Souza,string,,,
Kirstie McBryde,string,,,
Leah Sullivan,string,,,
Mark Verrengia,string,,,
