a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
380,,7882500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,7905000,,,,,,381,381,ranked_up_11,RANK/PRESTIGE_7
381,,7905000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,7927500,,,,,,382,382,ranked_up_11,RANK/PRESTIGE_7
382,,7927500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,7950000,,,,,,383,383,ranked_up_11,RANK/PRESTIGE_7
383,,7950000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,7972500,,,,,,384,384,ranked_up_11,RANK/PRESTIGE_7
384,,7972500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,7995000,,,,,,385,385,ranked_up_11,RANK/PRESTIGE_7
385,,7995000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8017500,,,,,,386,386,ranked_up_11,RANK/PRESTIGE_7
386,,8017500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8040000,,,,,,387,387,ranked_up_11,RANK/PRESTIGE_7
387,,8040000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8062500,,,,,,388,388,ranked_up_11,RANK/PRESTIGE_7
388,,8062500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8085000,,,,,,389,389,ranked_up_11,RANK/PRESTIGE_7
389,,8085000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8107500,,,,,,390,390,ranked_up_11,RANK/PRESTIGE_7
390,,8107500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8130000,,,,,,391,391,ranked_up_11,RANK/PRESTIGE_7
391,,8130000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8152500,,,,,,392,392,ranked_up_11,RANK/PRESTIGE_7
392,,8152500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8175000,,,,,,393,393,ranked_up_11,RANK/PRESTIGE_7
393,,8175000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8197500,,,,,,394,394,ranked_up_11,RANK/PRESTIGE_7
394,,8197500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8220000,,,,,,395,395,ranked_up_11,RANK/PRESTIGE_7
395,,8220000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8242500,,,,,,396,396,ranked_up_11,RANK/PRESTIGE_7
396,,8242500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8265000,,,,,,397,397,ranked_up_11,RANK/PRESTIGE_7
397,,8265000,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8287500,,,,,,398,398,ranked_up_11,RANK/PRESTIGE_7
398,,8287500,22500,RANK/PRESTIGE_7,RANK/PRESTIGE_7,,8310000,,,,,,399,399,ranked_up_11,RANK/PRESTIGE_7
399,,8310000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8332500,,,,,,400,400,ranked_up_11,RANK/PRESTIGE_8
400,,8332500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8355000,,,,,,401,401,ranked_up_11,RANK/PRESTIGE_8
401,,8355000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8377500,,,,,,402,402,ranked_up_11,RANK/PRESTIGE_8
402,,8377500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8400000,,,,,,403,403,ranked_up_11,RANK/PRESTIGE_8
403,,8400000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8422500,,,,,,404,404,ranked_up_11,RANK/PRESTIGE_8
404,,8422500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8445000,,,,,,405,405,ranked_up_11,RANK/PRESTIGE_8
405,,8445000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8467500,,,,,,406,406,ranked_up_11,RANK/PRESTIGE_8
406,,8467500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8490000,,,,,,407,407,ranked_up_11,RANK/PRESTIGE_8
407,,8490000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8512500,,,,,,408,408,ranked_up_11,RANK/PRESTIGE_8
408,,8512500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8535000,,,,,,409,409,ranked_up_11,RANK/PRESTIGE_8
409,,8535000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8557500,,,,,,410,410,ranked_up_11,RANK/PRESTIGE_8
410,,8557500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8580000,,,,,,411,411,ranked_up_11,RANK/PRESTIGE_8
411,,8580000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8602500,,,,,,412,412,ranked_up_11,RANK/PRESTIGE_8
412,,8602500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8625000,,,,,,413,413,ranked_up_11,RANK/PRESTIGE_8
413,,8625000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8647500,,,,,,414,414,ranked_up_11,RANK/PRESTIGE_8
414,,8647500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8670000,,,,,,415,415,ranked_up_11,RANK/PRESTIGE_8
415,,8670000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8692500,,,,,,416,416,ranked_up_11,RANK/PRESTIGE_8
416,,8692500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8715000,,,,,,417,417,ranked_up_11,RANK/PRESTIGE_8
417,,8715000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8737500,,,,,,418,418,ranked_up_11,RANK/PRESTIGE_8
418,,8737500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8760000,,,,,,419,419,ranked_up_11,RANK/PRESTIGE_8
419,,8760000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8782500,,,,,,420,420,ranked_up_11,RANK/PRESTIGE_8
420,,8782500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8805000,,,,,,421,421,ranked_up_11,RANK/PRESTIGE_8
421,,8805000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8827500,,,,,,422,422,ranked_up_11,RANK/PRESTIGE_8
422,,8827500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8850000,,,,,,423,423,ranked_up_11,RANK/PRESTIGE_8
423,,8850000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8872500,,,,,,424,424,ranked_up_11,RANK/PRESTIGE_8
424,,8872500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8895000,,,,,,425,425,ranked_up_11,RANK/PRESTIGE_8
425,,8895000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8917500,,,,,,426,426,ranked_up_11,RANK/PRESTIGE_8
426,,8917500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8940000,,,,,,427,427,ranked_up_11,RANK/PRESTIGE_8
427,,8940000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8962500,,,,,,428,428,ranked_up_11,RANK/PRESTIGE_8
428,,8962500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,8985000,,,,,,429,429,ranked_up_11,RANK/PRESTIGE_8
429,,8985000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9007500,,,,,,430,430,ranked_up_11,RANK/PRESTIGE_8
430,,9007500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9030000,,,,,,431,431,ranked_up_11,RANK/PRESTIGE_8
431,,9030000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9052500,,,,,,432,432,ranked_up_11,RANK/PRESTIGE_8
432,,9052500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9075000,,,,,,433,433,ranked_up_11,RANK/PRESTIGE_8
433,,9075000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9097500,,,,,,434,434,ranked_up_11,RANK/PRESTIGE_8
434,,9097500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9120000,,,,,,435,435,ranked_up_11,RANK/PRESTIGE_8
435,,9120000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9142500,,,,,,436,436,ranked_up_11,RANK/PRESTIGE_8
436,,9142500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9165000,,,,,,437,437,ranked_up_11,RANK/PRESTIGE_8
437,,9165000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9187500,,,,,,438,438,ranked_up_11,RANK/PRESTIGE_8
438,,9187500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9210000,,,,,,439,439,ranked_up_11,RANK/PRESTIGE_8
439,,9210000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9232500,,,,,,440,440,ranked_up_11,RANK/PRESTIGE_8
440,,9232500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9255000,,,,,,441,441,ranked_up_11,RANK/PRESTIGE_8
441,,9255000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9277500,,,,,,442,442,ranked_up_11,RANK/PRESTIGE_8
442,,9277500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9300000,,,,,,443,443,ranked_up_11,RANK/PRESTIGE_8
443,,9300000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9322500,,,,,,444,444,ranked_up_11,RANK/PRESTIGE_8
444,,9322500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9345000,,,,,,445,445,ranked_up_11,RANK/PRESTIGE_8
445,,9345000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9367500,,,,,,446,446,ranked_up_11,RANK/PRESTIGE_8
446,,9367500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9390000,,,,,,447,447,ranked_up_11,RANK/PRESTIGE_8
447,,9390000,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9412500,,,,,,448,448,ranked_up_11,RANK/PRESTIGE_8
448,,9412500,22500,RANK/PRESTIGE_8,RANK/PRESTIGE_8,,9435000,,,,,,449,449,ranked_up_11,RANK/PRESTIGE_8
449,,9435000,22500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9457500,,,,,,450,450,ranked_up_11,RANK/PRESTIGE_9
450,,9457500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9482000,,,,,,451,451,ranked_up_11,RANK/PRESTIGE_9
451,,9482000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9506500,,,,,,452,452,ranked_up_11,RANK/PRESTIGE_9
452,,9506500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9531000,,,,,,453,453,ranked_up_11,RANK/PRESTIGE_9
453,,9531000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9555500,,,,,,454,454,ranked_up_11,RANK/PRESTIGE_9
454,,9555500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9580000,,,,,,455,455,ranked_up_11,RANK/PRESTIGE_9
455,,9580000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9604500,,,,,,456,456,ranked_up_11,RANK/PRESTIGE_9
456,,9604500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9629000,,,,,,457,457,ranked_up_11,RANK/PRESTIGE_9
457,,9629000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9653500,,,,,,458,458,ranked_up_11,RANK/PRESTIGE_9
458,,9653500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9678000,,,,,,459,459,ranked_up_11,RANK/PRESTIGE_9
459,,9678000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9702500,,,,,,460,460,ranked_up_11,RANK/PRESTIGE_9
460,,9702500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9727000,,,,,,461,461,ranked_up_11,RANK/PRESTIGE_9
461,,9727000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9751500,,,,,,462,462,ranked_up_11,RANK/PRESTIGE_9
462,,9751500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9776000,,,,,,463,463,ranked_up_11,RANK/PRESTIGE_9
463,,9776000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9800500,,,,,,464,464,ranked_up_11,RANK/PRESTIGE_9
464,,9800500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9825000,,,,,,465,465,ranked_up_11,RANK/PRESTIGE_9
465,,9825000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9849500,,,,,,466,466,ranked_up_11,RANK/PRESTIGE_9
466,,9849500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9874000,,,,,,467,467,ranked_up_11,RANK/PRESTIGE_9
467,,9874000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9898500,,,,,,468,468,ranked_up_11,RANK/PRESTIGE_9
468,,9898500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9923000,,,,,,469,469,ranked_up_11,RANK/PRESTIGE_9
469,,9923000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9947500,,,,,,470,470,ranked_up_11,RANK/PRESTIGE_9
470,,9947500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9972000,,,,,,471,471,ranked_up_11,RANK/PRESTIGE_9
471,,9972000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,9996500,,,,,,472,472,ranked_up_11,RANK/PRESTIGE_9
472,,9996500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10021000,,,,,,473,473,ranked_up_11,RANK/PRESTIGE_9
473,,10021000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10045500,,,,,,474,474,ranked_up_11,RANK/PRESTIGE_9
474,,10045500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10070000,,,,,,475,475,ranked_up_11,RANK/PRESTIGE_9
475,,10070000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10094500,,,,,,476,476,ranked_up_11,RANK/PRESTIGE_9
476,,10094500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10119000,,,,,,477,477,ranked_up_11,RANK/PRESTIGE_9
477,,10119000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10143500,,,,,,478,478,ranked_up_11,RANK/PRESTIGE_9
478,,10143500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10168000,,,,,,479,479,ranked_up_11,RANK/PRESTIGE_9
479,,10168000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10192500,,,,,,480,480,ranked_up_11,RANK/PRESTIGE_9
480,,10192500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10217000,,,,,,481,481,ranked_up_11,RANK/PRESTIGE_9
481,,10217000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10241500,,,,,,482,482,ranked_up_11,RANK/PRESTIGE_9
482,,10241500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10266000,,,,,,483,483,ranked_up_11,RANK/PRESTIGE_9
483,,10266000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10290500,,,,,,484,484,ranked_up_11,RANK/PRESTIGE_9
484,,10290500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10315000,,,,,,485,485,ranked_up_11,RANK/PRESTIGE_9
485,,10315000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10339500,,,,,,486,486,ranked_up_11,RANK/PRESTIGE_9
486,,10339500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10364000,,,,,,487,487,ranked_up_11,RANK/PRESTIGE_9
487,,10364000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10388500,,,,,,488,488,ranked_up_11,RANK/PRESTIGE_9
488,,10388500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10413000,,,,,,489,489,ranked_up_11,RANK/PRESTIGE_9
489,,10413000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10437500,,,,,,490,490,ranked_up_11,RANK/PRESTIGE_9
490,,10437500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10462000,,,,,,491,491,ranked_up_11,RANK/PRESTIGE_9
491,,10462000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10486500,,,,,,492,492,ranked_up_11,RANK/PRESTIGE_9
492,,10486500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10511000,,,,,,493,493,ranked_up_11,RANK/PRESTIGE_9
493,,10511000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10535500,,,,,,494,494,ranked_up_11,RANK/PRESTIGE_9
494,,10535500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10560000,,,,,,495,495,ranked_up_11,RANK/PRESTIGE_9
495,,10560000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10584500,,,,,,496,496,ranked_up_11,RANK/PRESTIGE_9
496,,10584500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10609000,,,,,,497,497,ranked_up_11,RANK/PRESTIGE_9
497,,10609000,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10633500,,,,,,498,498,ranked_up_11,RANK/PRESTIGE_9
498,,10633500,24500,RANK/PRESTIGE_9,RANK/PRESTIGE_9,,10658000,,,,,,499,499,ranked_up_11,RANK/PRESTIGE_9
499,,10658000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10682500,,,,,,500,500,ranked_up_11,RANK/PRESTIGE_10
500,,10682500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10707000,,,,,,501,501,ranked_up_11,RANK/PRESTIGE_10
501,,10707000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10731500,,,,,,502,502,ranked_up_11,RANK/PRESTIGE_10
502,,10731500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10756000,,,,,,503,503,ranked_up_11,RANK/PRESTIGE_10
503,,10756000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10780500,,,,,,504,504,ranked_up_11,RANK/PRESTIGE_10
504,,10780500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10805000,,,,,,505,505,ranked_up_11,RANK/PRESTIGE_10
505,,10805000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10829500,,,,,,506,506,ranked_up_11,RANK/PRESTIGE_10
506,,10829500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10854000,,,,,,507,507,ranked_up_11,RANK/PRESTIGE_10
507,,10854000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10878500,,,,,,508,508,ranked_up_11,RANK/PRESTIGE_10
508,,10878500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10903000,,,,,,509,509,ranked_up_11,RANK/PRESTIGE_10
509,,10903000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10927500,,,,,,510,510,ranked_up_11,RANK/PRESTIGE_10
510,,10927500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10952000,,,,,,511,511,ranked_up_11,RANK/PRESTIGE_10
511,,10952000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,10976500,,,,,,512,512,ranked_up_11,RANK/PRESTIGE_10
512,,10976500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11001000,,,,,,513,513,ranked_up_11,RANK/PRESTIGE_10
513,,11001000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11025500,,,,,,514,514,ranked_up_11,RANK/PRESTIGE_10
514,,11025500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11050000,,,,,,515,515,ranked_up_11,RANK/PRESTIGE_10
515,,11050000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11074500,,,,,,516,516,ranked_up_11,RANK/PRESTIGE_10
516,,11074500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11099000,,,,,,517,517,ranked_up_11,RANK/PRESTIGE_10
517,,11099000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11123500,,,,,,518,518,ranked_up_11,RANK/PRESTIGE_10
518,,11123500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11148000,,,,,,519,519,ranked_up_11,RANK/PRESTIGE_10
519,,11148000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11172500,,,,,,520,520,ranked_up_11,RANK/PRESTIGE_10
520,,11172500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11197000,,,,,,521,521,ranked_up_11,RANK/PRESTIGE_10
521,,11197000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11221500,,,,,,522,522,ranked_up_11,RANK/PRESTIGE_10
522,,11221500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11246000,,,,,,523,523,ranked_up_11,RANK/PRESTIGE_10
523,,11246000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11270500,,,,,,524,524,ranked_up_11,RANK/PRESTIGE_10
524,,11270500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11295000,,,,,,525,525,ranked_up_11,RANK/PRESTIGE_10
525,,11295000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11319500,,,,,,526,526,ranked_up_11,RANK/PRESTIGE_10
526,,11319500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11344000,,,,,,527,527,ranked_up_11,RANK/PRESTIGE_10
527,,11344000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11368500,,,,,,528,528,ranked_up_11,RANK/PRESTIGE_10
528,,11368500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11393000,,,,,,529,529,ranked_up_11,RANK/PRESTIGE_10
529,,11393000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11417500,,,,,,530,530,ranked_up_11,RANK/PRESTIGE_10
530,,11417500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11442000,,,,,,531,531,ranked_up_11,RANK/PRESTIGE_10
531,,11442000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11466500,,,,,,532,532,ranked_up_11,RANK/PRESTIGE_10
532,,11466500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11491000,,,,,,533,533,ranked_up_11,RANK/PRESTIGE_10
533,,11491000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11515500,,,,,,534,534,ranked_up_11,RANK/PRESTIGE_10
534,,11515500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11540000,,,,,,535,535,ranked_up_11,RANK/PRESTIGE_10
535,,11540000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11564500,,,,,,536,536,ranked_up_11,RANK/PRESTIGE_10
536,,11564500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11589000,,,,,,537,537,ranked_up_11,RANK/PRESTIGE_10
537,,11589000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11613500,,,,,,538,538,ranked_up_11,RANK/PRESTIGE_10
538,,11613500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11638000,,,,,,539,539,ranked_up_11,RANK/PRESTIGE_10
539,,11638000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11662500,,,,,,540,540,ranked_up_11,RANK/PRESTIGE_10
540,,11662500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11687000,,,,,,541,541,ranked_up_11,RANK/PRESTIGE_10
541,,11687000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11711500,,,,,,542,542,ranked_up_11,RANK/PRESTIGE_10
542,,11711500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11736000,,,,,,543,543,ranked_up_11,RANK/PRESTIGE_10
543,,11736000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11760500,,,,,,544,544,ranked_up_11,RANK/PRESTIGE_10
544,,11760500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11785000,,,,,,545,545,ranked_up_11,RANK/PRESTIGE_10
545,,11785000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11809500,,,,,,546,546,ranked_up_11,RANK/PRESTIGE_10
546,,11809500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11834000,,,,,,547,547,ranked_up_11,RANK/PRESTIGE_10
547,,11834000,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11858500,,,,,,548,548,ranked_up_11,RANK/PRESTIGE_10
548,,11858500,24500,RANK/PRESTIGE_10,RANK/PRESTIGE_10,,11883000,,,,,,549,549,ranked_up_11,RANK/PRESTIGE_10
549,,11883000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,11907500,,,,,,550,550,ranked_up_11,RANK/PRESTIGE_11
550,,11907500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,11932000,,,,,,551,551,ranked_up_11,RANK/PRESTIGE_11
551,,11932000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,11956500,,,,,,552,552,ranked_up_11,RANK/PRESTIGE_11
552,,11956500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,11981000,,,,,,553,553,ranked_up_11,RANK/PRESTIGE_11
553,,11981000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12005500,,,,,,554,554,ranked_up_11,RANK/PRESTIGE_11
554,,12005500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12030000,,,,,,555,555,ranked_up_11,RANK/PRESTIGE_11
555,,12030000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12054500,,,,,,556,556,ranked_up_11,RANK/PRESTIGE_11
556,,12054500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12079000,,,,,,557,557,ranked_up_11,RANK/PRESTIGE_11
557,,12079000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12103500,,,,,,558,558,ranked_up_11,RANK/PRESTIGE_11
558,,12103500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12128000,,,,,,559,559,ranked_up_11,RANK/PRESTIGE_11
559,,12128000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12152500,,,,,,560,560,ranked_up_11,RANK/PRESTIGE_11
560,,12152500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12177000,,,,,,561,561,ranked_up_11,RANK/PRESTIGE_11
561,,12177000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12201500,,,,,,562,562,ranked_up_11,RANK/PRESTIGE_11
562,,12201500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12226000,,,,,,563,563,ranked_up_11,RANK/PRESTIGE_11
563,,12226000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12250500,,,,,,564,564,ranked_up_11,RANK/PRESTIGE_11
564,,12250500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12275000,,,,,,565,565,ranked_up_11,RANK/PRESTIGE_11
565,,12275000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12299500,,,,,,566,566,ranked_up_11,RANK/PRESTIGE_11
566,,12299500,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12324000,,,,,,567,567,ranked_up_11,RANK/PRESTIGE_11
567,,12324000,24500,RANK/PRESTIGE_11,RANK/PRESTIGE_11,,12348500,,,,,,568,568,ranked_up_11,RANK/PRESTIGE_11
